rank,product_hs92_code,product_name_short,pci
1392,4805,Other uncoated paper and paperboard,0.02
1393,7215,,0.02
1394,3203,Coloring matter of animal or vegetable origin,0.019
1395,2209,Vinegars,0.019
1396,2209,,0.019
1397,3203,,0.019
1398,4804,Uncoated kraft paper and paperboard,0.014
1399,4804,,0.014
1400,3706,,0.014
1401,3706,Motion-picture film,0.014
1402,1510,"Olive oil, blended",0.007
1403,1510,,0.007
1404,2303,,0.004
1405,2303,Starch residues,0.004
1406,7310,,0.003
1407,7310,"Tanks etc. < 300 liters, iron or steel",0.003
1408,7405,,0.002
1409,7405,Master alloys of copper,0.002
1410,8405,,0.002
1411,8405,Water gas generators,0.002
1412,9507,,0.0
1413,9507,Fishing and hunting equipment,0.0
1414,3210,,-0.002
1415,3210,Other paints and varnishes,-0.002
1416,7305,,-0.008
1417,7305,"Other tubes and pipes, diameter > 406.4 mm, of iron or steel",-0.008
1418,1602,Other prepared or preserved meat,-0.009
1419,1602,,-0.009
1420,8502,Electric generating sets and rotary converters,-0.012
1421,8502,,-0.012
1422,4413,,-0.013
1423,4413,Densified wood,-0.013
1424,7210,"Flat rolled iron, width > 600mm, clad",-0.019
1425,3205,Color lakes,-0.019
1426,7210,,-0.019
1427,3205,,-0.019
1428,9406,Prefabricated buildings,-0.021
1429,9406,,-0.021
1430,7309,"Tanks etc. > 300 liters, iron or steel",-0.021
1431,7309,,-0.021
1432,4415,,-0.03
1433,4415,Packing boxes,-0.03
1434,5705,Other carpets,-0.035
1435,5705,,-0.035
1436,7113,,-0.036
1437,7113,Jewelry of precious metal,-0.036
1438,5908,,-0.045
1439,5908,Textile wicks,-0.045
1440,5511,"Yarn of synthetic staple fibers, for retail sale",-0.046
1441,5511,,-0.046
1442,2707,Oils etc. from high temperature coal tar,-0.047
1443,2707,,-0.047
1444,1204,,-0.05
1445,5311,Woven fabrics of vegetable textile fibers,-0.05
1446,5311,,-0.05
1447,1204,Linseed,-0.05
1448,9505,,-0.052
1449,9505,Christmas and other festivity articles,-0.052
1450,6215,"Ties, bow ties and cravats",-0.057
1451,6215,,-0.057
1452,7104,Synthetic precious stones,-0.059
1453,7104,,-0.059
1454,3805,Turpentines,-0.066
1455,3805,,-0.066
1456,4816,,-0.071
